uid,whisper_transcripts,gt_transcripts
d276c321-7ef7-41ac-b3f3-07b419925fe5, True. What? Oh.," so what oh 
"
62e364e1-253a-42ba-a9ee-48788f401182," Hey man, look, this all I got for y'all niggas. Look, all I got is two threes. Take it and leave it. All right."," all right man look this is all i got for y'all look all all i got is two threes take it or leave iti i 
"
1f60d601-a0ef-4994-92da-a75354b812b7, Good challenge.," ok challenge 
"
5a342052-7157-4422-a329-f8ec71e97fca, Mmm.," hm 
"
b00b28ff-c9fc-4ed5-8207-1c72e65806cc, It's like now when the crib is when the kids the crib loves I feel like it's hot.," when the cribs when the cribs when the kids in the crib drop it like it's hot 
"
2ec3fce4-0dc5-4866-8794-3c30a44ab320, I've always played at the same rank or rank high.," i've always played it the same rank or a rank higher 
"
8c5b56f4-a270-45e0-82da-762b87565155, system which is not where it�s going to start. It�s not where someone Jonathan's office.," one four 
"
2cac96d2-1aa8-4618-8c45-22b8e973bb1f, I think I cracked some hundred this week.," i think i cracked several hundred this week 
"
0d001882-2bdc-48ce-b8db-a50ed1748505, She doesn't know how to pace.," she doesn't know how to pace 
"
6645b9ba-c36b-459f-8648-970b2b91da72, You," oh my god 
"
c174394b-2d75-4eab-a502-e5f331691024, Huh- Nikki?," what do you mean 
"
f5d42f80-4b2d-409f-8ca4-7bdaadd8f4ff, I'm probably gonna jump through all of that shit.," if i get a joker i'll at you 
"
caedd39a-ddde-4a22-bf4b-7874f23e754d, Okay.," okay 
"
8d1b89ed-53de-44d3-a87d-1def4a8216a4," I'm sure we can come up with something, yeah."," i'm sure we can come up with something yeah 
"
11deb1fe-e953-4ee6-881c-9dc6e8ee4466, I'm sorry.," okay 
"
9bdd33a3-dd12-490f-b044-292961036208, Are you sure?," are you sure 
"
62df3b9f-0d4b-42e3-9cd4-d5f526e20953," Okay, what's that what you want you want to call it? No"," okay was what you want you wanna call it 
"
db00e3c7-9750-4b6d-98fe-ef03b97c2424, Mm-hmm.," nah 
"
fa19de67-4713-4ed6-a68d-34b5cc1563ea, How late or full day?," how will i ever fold it 
"
cdffe101-7350-4f7f-9130-0016271e82b2, I know.," i know 
"
911fb70c-84f5-4eba-b360-87492f6e6278, I do because I got to.," i do cos i got two 
"
2eae0b32-1925-4045-9c7e-b35cbf0273ad, Okay.," okay 
"
bb0b56f8-5d52-4131-9e59-08ba431e2164, I think that they're gonna be mad at this way any other like card games. They might be mad at this way any other card games.," i think that they're gonna be mad if we play any other like card game they might be mad if we play another card game 
"
4ce6ef79-5ab9-476f-a5e1-44fb068eeb06, On sex.," one six 
"
a2a301aa-ad8d-494e-a70a-458c82e6deea, bullshit," bullshit 
"
67f0f21a-c363-4e62-840a-2168c1dc26a7, I don't even play my jam.," how do we even play mahjong 
"
196438d3-cfc7-4204-b55c-adfc0d22943d, one minute," one five 
"
944b9f49-0710-45bf-826f-89987163888e, Which is just strangely the weather...," just usually do whatever 
"
52821f9c-6181-48f2-9db2-154f36781d0a, Mind you.," mine 
"
9833857a-b1af-42e7-8b76-f2088e950cc0, Cool.," so 
"
1f9bd7ab-ff03-4ee6-aee9-d160fc1ccbf8, And that's how you get them. That's how you catch them.," and that's how you that's how you get them that's how you catch them 
"
e4450b4b-2268-4942-b798-726d57762935," Good, good, good, good, good."," cut it cut it cut it cut it 
"
a45ca09a-d1b6-421d-b218-b641f139b997, Thank you.," we're just 
"
ff8440e6-4bb0-47d5-9f26-08c8fecf62f5," Four tears. Three, four."," four two's three four 
"
55cd2871-af21-49d9-802a-a7d029558c2e, Two seven," two sevens 
"
f6399c5f-e702-43e4-88eb-25c854a5edd0," You're so fine. No, it was easy."," no 
"
becf8f94-13c5-4c41-be10-5f9aa945113f, We're okay!," my plate 
"
56d9cc97-6ac1-4013-b156-17065a34874a," Sorry, I just reached out for a quick."," it's reshuffle real quick 
"
55d676f2-ab94-4917-bde4-780cb6c9250d, What's going on?," what i win 
"
8c4578a6-9927-457b-9cec-945b1cb448ae, It was still rocking.," he was still rocking 
"
02613f18-5465-496d-b8bb-d0641d994004, That...," bet 
"
3dbd79ba-0ab0-415d-9ce4-2121d057448c," At any time in the process, the player that puts down the car, oomph, you can make this again."," at any time in the process the player that puts in a card let me read this again 
"
ecbc2caa-bd3b-427d-b9b7-32b2b2de4832, I'm sorry. Damn. I'm sorry. No. I'm so sorry.," i'm sorry i'm so sorry 
"
fdca3222-bf07-45bf-92ee-7f9cacc81e26, Thank you.," very very 
"
2f075ee7-1051-4d34-94de-d9849dd715c1, Damn!," damn damn 
"
4956e3aa-90c5-4e2d-a799-314f8ebc2501," You know what I really want you to pick that shit up, but I'm gonna pass"," you know what i really want you to pick that shit up but i'mma pass on that one no you got it you got it bro no you got it chief 
"
cfe40921-0218-4988-8bd0-d698c56f3b13, When did you put four names?," did you put four nines 
"
40ee5a8a-b796-41cd-aa6d-0670a0bf82c2," I don't know, I don't know, I don't know, it's okay."," i i know i know i know it's okay 
"
f042da13-29a8-46e6-9b80-7d1b616c51af," Excuse me, a chance."," give me a chance to 
"
5dfe71bf-c72d-4f2f-9a0c-7745225eba39, It's like a... Like a wolf. The... Sticking.," it's like eh eh like a loaf the stick end 
"
eb15e54a-85a9-41fd-89ba-cf942e5af49f,oes," one 
"
4586be55-baac-45e4-b8fd-f8c28101c1db, Mm-hmm," mm-hm 
"
a9a85054-1083-495d-b177-cfa24f2ab72a, Yeah.," yeah 
"
8e071d4b-2b6e-42ee-9c23-3fb75851a575, Oh," calm down 
"
e3a48d8c-eac6-4459-b42b-c95f8b589fbe, Berg !," what like the swimmers i don't think thus is your ice cream 
"
3eb5d974-7ad0-4dba-bbfc-8dfba7e9e3f7, So if I place two kings.," so if i place two kings 
"
8a20be8f-e364-4b19-ae32-e5510db23c8a, I can explain.," i can explain 
"
5927f480-8506-410d-a8b5-5dae9c8c97f3, Thank you very much.," call that bullshit i dare you 
"
fb084eb7-1732-4e01-818f-5fa8258ecc3b, Did you need help me anymore?," help me in my ass 
"
07607397-c74a-490b-b145-9bd474f7b22b, HA! I Wtta–," bullshit 
"
971aedd4-587c-4d33-8689-018c6d7a417a, cards. Nay.," cards 
"
03d74625-7a99-4b8b-8a47-91633ff60d51, Hmm.," hmm 
"
782e6a8b-a915-4bfc-9808-8ff568c29d83," Three, two..."," three twos 
"
228ec114-dbef-4d1a-abd0-b635854bc4d6," Not really. Yeah. You're sly, but I won the last three rounds compared to y'all."," not really you're you're sly but i won the last three rounds compared to y'all 
"
a06abd70-4967-47c6-933e-185fb9076e57, Huh?," huh 
"
dfa4fac7-4974-4560-a4c6-ac609441a654, I really should organize too.," i really should organize these 
"
fe03d96d-03ce-4684-89eb-fc1dd47d151a, Two weeks?," two aces 
"
ab679176-23eb-4765-9fec-9565ed3d847f," Oh, you're not going to..."," four fucking four 
"
2fefe58e-2100-4d4e-9acb-5ee2e8141956, Bullshit. Pick that up!," bullshit pick that up 
"
85d65895-8b4d-404a-beb9-85a950cafc99, Bum bum bum bum bum bum bum bum bum bum bum. Ten! Two tens? Mhm.," bum da bum bum bum bum bum bum bum bum bum two tens mhm 
"
6047b047-ee83-4589-afec-117184cea897, Why you do her like that?," why you have why you do her like that 
"
0d5932f4-e60a-4d2e-ab23-5ceb50c5780b," Oh no, they're all one set."," the oh no they're all one set 
"
6c994b40-e318-4316-8955-60d9733d9e72," So, did I go bigger or did I go to the same?"," so do i go bigger or do i go two the same 
"
456b46bb-04b0-49a1-908e-125a23254fbf," Yes, call that bullshit. I dare you pick up"," yes call that bullshit i dare you pick up 
"
337044fb-0e0d-42bf-96ee-5ee4e411e8a0, I'm upset.," max i'm upset 
"
911d5aff-5460-4eef-8e5e-7ad37a4f8034, What the hell?," what the hell 
"
5334b220-717f-425a-bda5-4525d64689ea," No, I'm going..."," no 
"
018a7eba-8aca-43d0-9417-ef18372bce1f, Three-fourths.," three fours 
"
98d66e10-0c09-4f73-92b1-5db8898ff85b, Let's paint the nine bears down there. I'm not going to get that pass down there.," okay the line's there so path down there 
"
7d53aab7-5779-43d0-9ad8-bf2eb6a15e1b, Well the game is called VS.," well the game is called bs 
"
edd979da-1caf-4922-b42e-cfa5ad51e608, Three one or five oh one.," three oh one or five oh one 
"
743f1cf4-57ac-486d-aaaa-d2e04c9926ef, Nice.," two nines 
"
91470443-883e-425b-b6a2-ff3cad6ea988, Hey. Why?," ho ho you why 
"
66abf18f-514b-4f6a-b03f-3e05031a351b, This mama," one 
"
efcfe331-49a9-4bf7-9f03-37d8b3e0adbc, You know what?," you know what 
"
95c83000-94bd-40f1-b1ef-7ee3cebd9733," Yeah, first of all this stuff!"," you got to take all 
"
7424e9ce-eaae-4baf-b9db-9d0d946ed52d, The Murangi'l," two more jacks 
"
872a8ab8-0fe7-4987-855c-b06049356365," So you can figure out, the idea is because you don't get to see everything. You have to kind of like play it on the fly and you can't plan for long enough."," we can figure out so ismael the idea is because you don't get to see everything like you know you have to kinda like play on the fly and you can't plan for long enough 
"
0048639e-8a86-4321-a906-f17c2e49742f, Huh.," hmm 
"
bd4d51a0-979a-4127-9acb-11cdac86b9f0, one deck in the video.," one deck in the video 
"
06a67705-f5a8-4ff1-9e3e-bb105f97af34, You got it.," you got it 
"
5bae5b0b-8046-43f5-9038-a783d4f837a5, Oh look at what you're drilling into.," and look at what you're drawing into that 
"
e2188f48-eab0-464e-a5c6-c29da9096750," I am passing on a rule as I say, let's say if we start and I play something counterclockwise, it's going to be jalaga."," uh passing let's say if he start and i play something counter clockwise clockwise 
"
b0d7a25b-3fdc-4e16-b89c-6f12464634d8," He was so sick of you! One day, he knew I had the... NO!"," bullshit one king 
"
997b4448-c162-4fb3-815e-37a255f1f91b, Q. The number tag.," yeah you could do the same 
"
d9262c63-66a4-4c6a-a6a1-e52a52309c7c, But I want to wear scrubs.," i wanna see 
"
29678cb3-b378-4054-b48a-e0dfbb953731, I don't want to learn what I know.," i don't want one right now 
"
3eb95091-f9bb-4bf0-883a-1294f919a22b, I'm just at the big set and sure I have these cards. Do I? Yes. Okay," two three four i'm using the big side and sure i have these cards do i yes okay 
"
416a0183-33bc-4e89-a83e-cd473d3e87a2, Just take the day.," take the deck just take just take the deck 
"
f0ef89a1-4a8c-4593-a5ab-d871c4b911dd, Yeah.," yeah 
"
d8b1b86c-c94b-4e2d-aeac-7f8324c24c9f, I really mean to," two eights i i really need to 
"
b61848f7-88b8-4318-88d3-f68255fd5631, See you later.," too late 
"
a52ff707-d3e5-4329-bf92-cf23670b00d0," No, you can do the same number."," no you can do the same number 
"
9ecc0195-1f15-4f1d-b576-a3662a079be1, You want to call that?," you'll call that 
"
31d31311-d12e-40fc-a36c-94975637c08e, Four nines.," four nines 
"
c33f7f26-4aae-4bca-ae2b-93ecf4975232, I'm just falling down.," mine keeps falling down 
"
c1a3b9cf-d9f0-495b-8561-757ab577b494, Your aces.," four aces 
"
6f5f1b03-cfc3-4efa-a276-f7758ac0bef0, and hot doing the biscuit when it's redundant.," we're not doing the biscuit it's redundant 
"
51c8c1d9-9aa9-4865-bd40-41f29184d8d7, Oof," one nine 
"
965f483e-8d1d-42c7-a760-fe169ed6df95, Okay.," two kings 
"
b9b3b00d-83ea-48df-b886-4ceea77ffa2c, Mm-hmm. I see a whole lot of BS up in this pile too," mhm i see a whole lotta bs up in this pile too 
"
c1338670-6bac-46b5-a8e3-1c9b22ccfc71, Cheapery bin Easter time!," do you think she 
"
1c8cabb9-51dc-4916-bddd-03efdaf52920, Okay," okay 
"
e9782f17-a1eb-4c5a-8b0f-b990b293672a, Four nines.," four nines 
"
67beb418-714e-4a2a-b942-cc8db3e560d3," Yeah, you got the heck out of the fuck!"," yeah you got that motherfucker 
"
fca8fb0e-7dc5-42b1-93c1-7e5bf48277d2, ..asso assistant.," doubtful 
"
73c4a65b-7c25-4257-9a63-ac3493748004, ByeArch," cards 
"
dc319149-721e-48e1-96ce-af23621bd295," I know, I said, four, four, four, four, fours, three sixes and one seven, you had the whole of the day."," i know i said i have four i have four four fours three sixes and one seven yeah today 
"
c5bccdfc-6ec1-461b-8550-d3fd5b46d32f, I got one of threes.," cuz i got all i got all three i got all why all the threes goofy ass 
"
aa6959a3-9e46-43b8-b850-f150593d2a1a, Y'all are supposed to take that path.," yeah we were supposed to take that path 
"
3e6bae7c-b7b7-405c-ba82-abf2ba1d53a4, So if you want to lower this down and test and make sure.," so did you wanna lower this down and test and make sure 
"
68e7a5be-3d1d-41c4-a0bc-ac017f9cdceb, Similariz," many more
"
92840cef-1f2b-4362-8e32-9dd5679a07b3, It's bullshit.," one five 
"
d7afa43a-6aa3-4b47-a915-0b3cd50eb054, I can wait.," i can wait 
"
502ce6ee-3969-4484-880f-27c7eeea0abd, You wanna go to a bullshit? Yeah bullshit. Yeah! Yeah! Yeah! Yeah! I'm thinking for... I'm thinking...," you wanna call that bullshit 
"
d9fc0bc4-8a1c-4fcb-9ca2-35e776f7afb1, Bye-bye.," uh-huh 
"
2623a70d-139f-43a7-8062-a44b7ae6331e," Damn, I'm thinking forward. I'm so good."," damn i'm thinking four i'm thinking 
"
858fd963-56df-4985-b99b-a10ea2686488," Yeah, you do."," yeah you do 
"
905b7b56-da6a-46c9-b81c-b9769d05dfe6, Bullshit.," bullshit 
"
9391c80d-c65d-48b1-a6f1-999e39c48c52, You got the really treat for it. Thank you.," mm you guys are really truthful thank you 
"
42650472-d3cf-4046-9f3f-c2514b370137, You definitely got it!," you you definitely got it 
"
8f307e41-70ff-4021-906b-d913e9d3cb32, I thought that was bullshit.," i thought that was bullshit 
"
7bb3e7e3-134f-4ff9-9925-e632212a862f," Okay, the medical card."," yeah card 
"
d1316813-7beb-4ecf-a5ce-3f6301126097, You," too good 
"
880ae236-d708-4d28-948e-a61a77518b56, We'll find the water.," one more 
"
21897586-10e7-4f83-b4ac-047696fd4352," One, two."," one time 
"
94efdda6-c134-4356-a3c2-2284a7331cb1, Three sevens.," three sevens 
"
65427992-b2e2-48d5-a878-7f5d42d98761, Because it's valid. Now you don't have to fall. I'm not that full of facts.," bullshit cause it's five and you don't have a five i know that for a fact 
"
ab0414ec-2dbd-4121-9461-1b8c3be318f8,," yeah 
"
eb41d8c1-c994-4045-b89c-c4f584b95b51," No, like we're in like a game, like a gambling game and we're at the end. Yeah. And we're wearing like cameras to like... See if you're cheating or not."," no like we in like a game like a gambling game and we are at the end and we waiting like like cameras to like mm yeah 
"
08716c79-c224-4368-a059-975d9399ca66," Yeah, you got the-"," yeah you got
"
e3905bb0-7e8f-473d-9e3f-b09cb49e8575, If you're not you're not allowed to the redouble back on the floor It's like if you're going over every rank where why are you saying you have your plan? Why are you putting out a fort? That doesn't make sense," if you're not you're not allowed to double back on the fours like if you're going up on every rank why are you saying why are you why are you putting out all fours that doesn't make sense 
"
6608e0c8-5ad9-427e-9aa0-73f4d5e28811, Time to go through.," science project 
"
135cf7f9-7fd3-4a1e-924f-47010d458384, It's not going to happen. It's only going to hurt.," it's not gonna help 
"
71b84f00-8305-4be1-b16f-608884354686, Take it. Have fun.," ten 
"
35c1b58c-ea1d-48d9-95bf-0b5beaa79ea2, Four fours.," four fours 
"
ec40d323-50fd-43a8-81d4-78daea68ec98, Thanks for watching!," two 
"
ada109af-b984-45da-b30e-4cc0fbb4efa4, They might be mad if we play any other card games.," they might be mad if we play any other card game 
"
e05771cc-e05a-44a7-98a6-3415b1021753," It's her, baby,"," that was close that was close 
"
cecb067f-8813-4a81-bee6-d9009b5e837a, monsters," that's nice 
"
3bdc5c8b-f30e-457a-83e4-6b179f0a0cd0, What king? Shit! Oh shit! Four aces Four two's," bullshit four twos 
"
abd9f473-4c68-48e0-878e-59e24e532153," Pick it up, pick it up."," pick it up pick it up 
"
7391bd13-7fce-4e3c-8b3c-706506344078, It is.," ace 
"
d29dfd68-6885-4226-8171-34072f61fb63," One, two."," one two 
"
a823ecd7-15b8-497e-95d2-2c6f91493ae2, Now I'm gonna call BS on everything now.," & call bs on everything now 
"
f6a282c4-354e-46e1-b7a1-caad6d75f6a4, They're not going to be perfect. Boards are perfect.," they're not going to be perfect boards aren't perfect 
"
b738c09b-0e83-41c5-9c93-81839e5dc0ad, courthouse of police counties. soldiers referenced then," four threes 
"
b7d002ed-a00b-4be2-971a-45517bfd9ef8, Remember," remembering 
"
491a18ba-48cd-4f77-b78f-1cfa7fc37e02," Oh, he should be back. It's almost known."," oh he should be back it's almost nine 
"
6cd64da2-7cb1-45f7-8c04-a24bb30ea9d9," So we look at all of them, right?"," so we look at all of them right 
"
d8e7b7e4-7c85-457c-a645-994825b81e81, We did it.," eight 
"
c113595c-1514-450f-b178-60bb5a280319, for jacks.," four jacks 
"
526e221c-a2a8-4fbd-9cb7-941403a03983, We call it love in India.," we call it block in india 
"
f8f9731c-1bf6-402f-bccd-a73117ff8b1d, Huh.," oh 
"
944e97a5-396e-4015-bb4a-1f4ed89088b2," Oh my god, oh my god. Wanna be colin?"," oh my god what do we call it 
"
97f41c8a-4c20-454d-9bfc-80116f538974," That's about it, video editing up"," one game passing the second 
"
a81ace78-0a86-4395-aebd-97bf41c27112, So I can't even hear you liquor.," so i can't even drink liquor 
"
22a3d110-3553-4e0e-8828-bc41e2ce0885, Man fuck these threes for threes," man fuck these threes four threes 
"
cb2206f6-32b2-4b39-8f1a-be556553bf46, four aces.," four aces yeah yeah yeah good 
"
31bc0803-7f39-420b-9c2f-53ccf862a687, Jack.," two jack 
"
37c77572-62ba-4b57-a248-a6eb7e8edeb2, rocks to ramen," game 
"
ff635325-5400-4396-90f0-3581bd1ef5b4, What?," what 
"
b8fc47b7-3f9a-4f64-9e60-2d4e6ea03d5c, One more.," one more 
"
15c98e11-f3f7-45a7-8ced-775635e717fe," Then, there are little other people of kevidence"," hashtag yeah oh good good good 
"
0793b7d9-b570-4e46-8c77-7531088ec8a9, Pick that shit up. Two fives.," pick that shit up two fives 
"
985a269a-210e-4f3c-96b4-0fe1d57196fa," Firstly, have one."," one 
"
51c31784-4a14-44b7-b79c-d1a3919f9e48, I don't laugh.," i don't lie 
"
a865e21c-97e1-4af7-81cb-24e52fc983f1, Two hats.," two jacks 
"
6a5c27ca-f5ad-4b95-abfb-00c0a47eb318, Hold on just give me one second get my shit in order," hold on just gimme one second get my shit in order 
"
98ab4461-9ceb-4b0e-bb5a-34ff9fe23739, Okay," kings 
"
894b0e05-70a0-41f1-9615-4ef3becf4312, How many times? You can play any number of cards. Those are the art king S.A. Wilkid Alta. It is easier for you to get rid of many of them at the same time.," how many sixes you can play uh art king it is easier for you to get rid of many of them at the same time 
"
70debf8d-d758-4183-9905-6cd9e9599571, Mm.," hmm 
"
031e1b86-8161-43d4-bfbf-7d4c3c348c28," Until, did A.B. tell you that you were gonna get all your money this week?"," until did ab tell you that you were gonna get all your money this week 
"
08c5c1ec-c865-439b-9c6b-45a6e97ab16b, Four nines.," four nines 
"
4c848686-910e-41bd-b183-9a8867d236a9, at the shadow of one child.," call that bullshit please 
"
6e23023e-f9e1-4c87-bea8-177c8e8dd35b, I'm not sure. I'm not sure. I'm not sure.," game 
"
8b6b49e3-6d39-4334-9cf1-71840b174dae," These are yours, you all right?"," these are yours you want one 
"
f0e3b304-36e6-461f-b448-a7b08b17fff4, Never reveal to the opponent.," never reveal to the opponent 
"
16db8d5b-189b-4eed-9a6c-823290255553, Poor Queens.," four queens 
"
6a1976b8-0983-4b69-a083-8b42835652b1, And I'm done.," and i'm done 
"
2e010811-f382-462a-a291-f9d5d5942fa0, Two queens.," two queens 
"
3c1cc496-a2f5-4d0d-9249-18d8561a4f0e, monaster," the monster 
"
44c60428-6a17-4726-aea0-99506016c30d, Mm-hmm," uh 
"
4b71a956-74de-4a4c-a065-ea69fa8a68e0, He just looks like God has bullshit so many times.," he's just upset cuz i called his bullshit so many times 
"
0c55b379-bc39-4208-bb59-7a3b099fae79," Well yeah, I just told you that..."," well yeah i just told you tooh god 
"
6668cd5d-6a92-4dcb-9b9d-0345c21c50f9, There's never before things," doesn't matter to me 
"
f050bc6e-0fc5-4abf-99c2-fa182990ea69, What do you want me to do?," what do you want me to do 
"
93fd51b0-4a0a-4c6e-bf7e-8d94295f5f6a, moist so," one ace 
"
42e4fcaf-3f42-4b16-8196-6cef170a2bf6," Yes, okay"," yes what ever what ever 
"
88b994de-1926-4c2c-9ada-487c24b9d3d6," One, two."," one two 
"
3a22e319-be7d-4e7b-a6a2-7ad2c90766e3, but I think we should play one deck or we should have played one deck before but what if they won't," but i think we should play one deck all we should have played one deck before but what if they won't 
"
1a803bf0-3d89-491f-b9fb-443e0afd0984, Or you want to get out of this? What's going on?," or you wanna pay my bills which one you want 
"
3a7d9e8a-65fd-42fe-ad64-8f7f055bf9e1, I did.," a ten 
"
368fa371-e9c3-45d8-97b0-bbd67df21800," Okay, open this."," how open this 
"
2bedfd11-4171-4eb4-8daf-2b594dfa1d53," Give me one second, I'll pick up those aces, I want those aces anyways, I didn't have any. Thank you."," give me one second i pick up those aces i want those aces anyways i didn't have any thank you 
"
551052e5-d910-4a6b-9a55-9a7c276c59e2, Right?," good 
"
b517eca7-c61e-470a-8c74-ad231bb5ba0c, which will help in the lives of video.," which will help in analyze the video 
"
f13cca63-a0c6-4a5a-a58a-c2612ebdbafe," I mean my cards are all black, you can't really see them."," i mean my cards are all black you can't really see them 
"
95ada88e-db0c-44eb-a235-61bccb2fdeb4, Take care.," take 
"
96787234-e336-499f-ac55-31d9ca6fc927, I'm going to go to your kids band. Who? What? Oh.," hey can i see your keys babe this 
"
7af6bfcb-f3e8-4d86-995f-fe0d1c6b11cd, We'll see you next time. We'll see you next time.," one eight 
"
8152de04-f1e9-485f-ad38-b711f2e48292," It makes more sense once you start playing it, I promise you."," it makes more sense once you start playing it i promise you 
"
831233b8-1125-48cb-8075-dc469afc42bc, I don't bullshit. I calculate the rounds.," i don't bullshit i calculate the rounds 
"
6fba7940-ca9c-4307-9e45-d65e37fffbb0, I'm just leaving a comment card though with him.," i'm just making cuz i would have 
"
83464fd7-1148-41e2-97f6-06469f116d91, I'm gonna go ahead for that one too.," imma go ahead for that one too 
"
6c678000-b75c-453b-b421-0b5f9de143b8," left clicker, then it will clicker, clockwise there. And if I pass, then the game is between you two guys."," let to clockwise and if i pass then the game is between you two guys take care 
"
f18046e5-eb90-4210-bca9-a865ddfb8cec, Did you get a Joker?," did you get a joker 
"
15077d94-cb72-4d96-90b4-8f08bee914bf," Yeah, I'm about to map."," yeah i'm bad at math 
"
55549452-744c-42df-a568-daaf49192cd5, Fucking shit!," four kings shit 
"
1d0c4f88-ee75-4dee-8f23-5c83da293a73, Can't say her name's got more.," can't say her name she's got a warrant 
"
53e16b80-6cbe-4c3f-b0c9-73ed9f2709cf, And they have st vert niceLEY," nasty 
"
6db358be-308e-4633-830d-6976f62828a3, while," ha 
"
078ea48e-bdbd-4aa1-9c13-5d0f957b11ca," Oh, right at the end, I was like,"," ohh right at the end it was like zoom 
"
c0b7a545-257e-495b-9773-6de75305ca23, Create.," three eight 
"
05829271-4962-49d8-b201-deb347f19034, Welcome to the argument session today. We are playing BS.," welcome to the session today we are playing bs 
"
8d5f171e-ff36-4c02-8c9a-98ab37b0cd10, little tiny of the...," too tiny 
"
cefcef55-9429-4300-afe0-7ce97ab5677d," ""... thank you very recall cuteange..."""," count 
"
60409bbf-661d-4ed9-83c7-1f35a482b932," Okay, let's fight."," okay let's play 
"
1befb770-7459-43d2-9ce7-f2c3ac972447," Alright, let's play."," all right let's play 
"
559ac141-6991-40f1-b6a4-9bd51cd3a285, Up to deck here. Right now it is a complete.," whole deck 
"
eec404c0-844b-4d05-a6b6-c113e004b9fb, I'm going through," nine 
"
87825afe-9404-4441-9113-b40451575fab, People will.," people will 
"
515a011c-7343-48f5-a5db-f8fc79a91d49, This revenue added further," unbelievable 
"
affe22c9-da64-460d-8e41-ea85c4721f39, Why are you sliding over like this?," why are you sliding over like that 
"
f1904682-5b1f-4a6b-82ce-c22020e4807a," No, he had nine, bro. That's why I called bullshit. Oh, yeah. I had nine. So how you gonna stop? Shut up, nigga. Shut up, nigga. Shut up, nigga."," no he had nine bruh that's why i called bullshit i had nines so how you gonna shut up and go shut up and go 
"
8925bf26-e0f8-4d61-a194-9b3e135c68ba, one more.," one four 
"
2f5ea3c7-98f7-4352-aefa-76a533feeb95," Come on, more."," one more 
"
0c1edf02-5944-4f2d-a5e8-dd82da07231b," Yeah, you already saw us shut the fuck up"," yeah you're already solid so shut the fuck up 
"
238fe75e-05e5-416a-8659-20825cd6bdef, I didn't know you were coping between the two ways.," two nine two nine 
"
fb3fdf8e-4e3f-4ba8-b457-bcfdabd27f9f, Sevens," three sevens 
"
1773bd4a-59df-44cd-8b3e-0789a008e73e, No matter what it's going to be.," no matter what 
"
bbe8a28d-31c3-4b54-8934-e0bd4d4e15d1, Four Nines.," four nines 
"
529b715b-d152-4d80-afdc-a4ca579d50e9, But you can't!," you can't 
"
7e445924-47c9-4eae-adea-7957c7b34be4, I have a whole deck," i have i have a whole deck 
"
74264e25-bf9e-473b-a221-90d7b1fb8a6d, I hate you Wanna," hate you one nine 
"
ee438517-6423-4925-b395-2b2b94c88754, Is there any way?," is there anyway
"
a0703392-5827-4206-a96a-1acfc3aaa7f8, I'll see you there.," okay you can deal yourself 
"
637c82ac-0a09-43dc-9601-cb4c64cccbd2, So we got to go down.," so we got to play that game still 
"
6bd2c930-ed33-4e51-b238-801a55b16c51, So how often are you pointing down here and putting them in?," well how often are you pulling things out of here and putting them in 
"
06fb2e52-abe3-4866-9c48-e637676a0997, Help me?," how many 
"
2f077263-63d3-4388-9c8d-c2019dacac0b, Ha ha.," ah ah 
"
d4c5a6e0-e0fd-4f9c-ac10-d371f8d8dc3a," Miles, we tried to wait for Miles's opportunity. It didn't come. He hit a tree."," miles we tried to wait for miles's you know opportunity it didn't come he hit a tree 
"
0b4c3c25-eb88-4de7-8237-5a200768a5ce, That's a far rule.," that's a far roll 
"
552d86b4-2f11-4db5-aac2-6ff422ff4fe7," Okay, Ch- for eight! Okay, Ch- I know. Okay, Ch-"," i fucking hate you i i fucking hate you i fucking hate you 
"
172facc1-ef01-4baf-a4af-292e43eb5d1d, We call it pudding.," we call it cutting 
"
37822032-f42b-4dcc-ad7d-29c3f4bd57cd, Amen.," two threes 
"
745941d0-0dc8-4171-8865-e3fca4826917," I went for the ring, don't, don't."," wait for the ring dong dong 
"
54791857-6bc4-46a5-a038-cf0af6240a22, Two senses.," two sixes 
"
7212b6a8-d374-45c3-9e5a-103d641e762e," He's like, oh, it's a chakra, it's a chakra. Good. Now, because you challenged, it is your chance. He was important to the entire country. Who gets to call the shorts?"," ooh good good good now because you challenged it is your chance who gets to call the shots 
"
adb0b663-0c15-4c08-a089-2bb215f4872d, the challenge.," challenge 
"
5793bb2f-3c82-4617-ac59-3d3b56c225fb, One more.," one more 
"
3c82b212-ca78-4648-8342-56c8baa097b3," Oh, that's seven."," no i had seven 
"
346a8e85-6aff-43d9-87c1-5884a4466686, Thank you.," mm hmm 
"
178e001e-9f7d-45a2-a0db-a5edada4a753, please do get in touch.," one nine 
"
828045a2-9675-44fb-9eb4-08a750861630, Try that right now.," the pipe that is getting in 
"
e30baff5-5d9d-4a16-8be1-1f3ae88473d3, Three sevens.," three sevens 
"
51f6f5f7-000c-47f4-9e10-56152b4b1bcf, I didn't put anything down yet.," i didn't put anything down yet 
"
6919f245-3606-4e86-97ad-862f3bb7be2c, the UK.," yoga 
"
33799903-48a0-4355-9086-52b5ffedf7d8, HUH," hm 
"
7209232f-e10d-4f74-a2df-447d426000da," But let's go, let's go with this and maybe next round we can figure out. So the idea is because you don't get to see everything, you have to kind of play it on the fly."," but let's go let's go with this and maybe next round we can figure out so the idea is because you don't get to see everything like you know you have to kind of like play it on the fly and 
"
