uid,whisper_transcripts,gt_transcripts
8152_282985_000006_000001," It peers into every hiding place, and wherever it finds one of the little people, it sends little cold chills over him. Little chills which, jolly round brightens on cannot chase away, though he shine his brightest.","it peers into every hiding place and wherever it finds one of the little people it sends little cold chills over him, little chills which jolly, round, bright mr sun cannot chase away, though he shine his brightest.
"
476_133471_000046_000001," He was evidently thinking deeply, and Bryce made no attempt to disturb him.","he was evidently thinking deeply, and bryce made no attempt to disturb him.
"
296_142727_000004_000001," Besides, the difficulties which atop us here are peculiarly of a psychological order.","besides, the difficulties which atop us here are peculiarly of a psychological order.
"
7247_77778_000004_000000, He discusses the music cure.,"he discusses the music cure
"
475_125002_000021_000001," and the youngest, who was intended for the American marriage market, has developed political tendencies and writes pamphlets about the housing of the poor.","and the youngest, who was intended for the american marriage market, has developed political tendencies, and writes pamphlets about the housing of the poor.
"
1752_16632_000029_000000, They had much better be at home in bed.,"""they had much better be at home in bed.
"
2053_138901_000032_000003, told him that she did look at it in that light.,"mrs greenow told him that she did look at it in that light.
"
8183_282977_000004_000002," Never afterwards was Jack seen in that part of the country, at least as long as a fetter remained.","never afterwards was jack seen in that part of the country, at least as long as a fetter remained.
"
5660_101892_000026_000003," I touch only the surface, the great cause behind things I never reach.","i touch only the surface. the great cause behind things i never reach.
"
5062_294700_000082_000000, The serious nature of the emergency had its effect.,"the serious nature of the emergency had its effect.
"
1859_145700_000033_000000," The princess and her fright exclaimed, that is a crab himself.","the princess in her fright exclaimed, 'that is the crab himself!'
"
7145_87280_000029_000004," Even the king fought shy of her, and the queen was almost afraid to speak.","even the king fought shy of her, and the queen was almost afraid to speak.
"
8388_275212_000020_000001, I will go into one of the princess's chambers. I have not room to stir here.,"""i will go into one of the princesses' chambers; i have not room to stir here.""
"
4111_184448_000048_000000, I sat down at the long table by the window and slowly prepared to enjoy myself.,"i sat down at the long table by the window and slowly prepared to enjoy myself.
"
8028_233366_000030_000001," Very few people, he says, are perfectly honest, and the more dangerous society makes it for a man to be so, the less likely he is to be.","very few people, he says, are perfectly honest, and the more dangerous society makes it for a man to be so, the less likely he is to be.
"
2598_4662_000046_000002, A return in the afternoon is ignominious and humiliating.,"a return in the afternoon is ignominious and humiliating.
"
3483_119637_000025_000000," After all I reflected, man makes little progress within himself. Through succeeding generations he piles up those resources which he possesses outside of himself, the tools of his hands, and the warehouses of knowledge for his brain, whether they be parchment manuscripts, printed book, or","after all, i reflected, man makes little progress within himself. through succeeding generations he piles up those resources which he possesses outside of himself, the tools of his hands, and the warehouses of knowledge for his brain, whether they be parchment manuscripts, printed book, or electronorecordographs.
"
5039_1189_000014_000000," One, said Ojo, is a six-leaf clover.","""one,"" said ojo, ""is a six leaved clover.""
"
7313_91072_000034_000004," John Bright sent regrets over, our friend Horace Greeley. Congress passed resolutions of respect for his, eminent services, and personal purity and worth.","john bright sent regrets over ""our friend, horace greeley."" congress passed resolutions of respect for his ""eminent services and personal purity and worth.""
"
4719_25766_000003_000001, Here he found little trouble in finding means to cross the Tennessee River.,"here he found little trouble in finding means to cross the tennessee river.
"
6446_40571_000004_000001, IUC,"iacchus!
"
2156_82458_000004_000000, Billy the Kid is sentenced to hang.,"""billy the kid"" is sentenced to hang.
"
7789_103120_000029_000000," The old woman was quickly extricated from her hiding place, and with much energy declared that she had seen on a wanda disguised with war paint among the Indians, and that he had torn away the children from her arms before she could fly from the house.","the old woman was quickly extricated from her hiding place, and with much energy declared that she had seen onawandah, disguised with war paint, among the indians, and that he had torn away the children from her arms before she could fly from the house.
"
6300_39661_000022_000000," Yes, Madam, yes, certainly, it would be a great loss for the kingdom,"" said Louis, coloring. But the peril does not seem to me to be so great. Besides, the cardinal is still young. The king had scarcely ceased speaking when a nusher lifted the tapestry and stood with a paper in his hand, waiting for the king to speak to him.","""yes, madame; yes, certainly, it would be a great loss for the kingdom,"" said louis, coloring; ""but the peril does not seem to me to be so great; besides, the cardinal is still young."" the king had scarcely ceased speaking when an usher lifted the tapestry, and stood with a paper in his hand, waiting for the king to speak to him.
"
3157_119295_000030_000001," Every winter many unnecessary deaths occur because people, especially older persons, but younger ones as well, engage in more strenuous physical activity than their bodies can stand.","every winter many unnecessary deaths occur because people-especially older persons, but younger ones as well-engage in more strenuous physical activity than their bodies can stand.
"
8225_274374_000015_000004," Among the rest, who had a regiment of infantry that lay at a distance, joined the horses of volunteer. And overtaking the royalists on the field, entered into the thickest of the battle.","among the rest hambden, who had a regiment of infantry that lay at a distance, joined the horse as a volunteer; and overtaking the royalists on chalgrave field, entered into the thickest of the battle.
"
1028_133393_000030_000000," Old Dursaal seemed nearer to the boy than anyone else about the castle, accepting it was his father. And it was a newfound delight to Otto to sit beside her and listen to her quaint stories, so different from the monkish tales that he had heard and read at the monastery.","old ursela seemed nearer to the boy than anyone else about the castle, excepting it was his father, and it was a newfound delight to otto to sit beside her and listen to her quaint stories, so different from the monkish tales that he had heard and read at the monastery.
"
6492_68353_000016_000002," But it was the peoples of the downtrodden, war-stricken nations especially, who looked to our President as the great champion of liberty and freedom. They believed that he was the big brother and that the country that he represented, would see that they were treated fairly.","but it was the peoples of the downtrodden, war stricken nations especially who looked to our president as the great champion of liberty and freedom. they believed that he was the ""big brother"" and that the country that he represented would see that they were treated fairly.
"
5740_97610_000010_000002," Instead, she sees something very like tears in her mother's eye.","instead she sees something very like tears in her mother's eyes.
"
5126_27504_000011_000003," It looked as if our luck was dead out and we began to think our chance of getting across the border to Queensland and clear out of the colony that way, look, worse, every day.","it looked as if our luck was dead out, and we began to think our chance of getting across the border to queensland, and clear out of the colony that way, looked worse every day.
"
16_122828_000056_000003," As for that old f***s, I'm glad it's smashed, for maybe now Martha will agree to having it taken down.","as for that old duckhouse, i'm glad it's smashed, for maybe now martha will agree to having it taken down.
"
5054_18527_000015_000001," There isn't anything in all this world that isn't in Paris, she brought up. Not very elegantly.","""there isn't anything in all this world that isn't in paris,"" she brought up, not very elegantly.
"
93_124558_000056_000001," On coming to another kingdom, he said, like my Lord, and left it.","on coming to another kingdom he said, 'like my lord ts'ui,' and left it.
"
7949_39970_000030_000011, Neither the people who engage in them or those who are directly affected by them are capable of full and free interest in their work.,"neither the people who engage in them, nor those who are directly affected by them, are capable of full and free interest in their work.
"
718_129596_000023_000002, every now and then he looked back at me over his shoulder.,"every now and then he looked back at me over his shoulder.
"
7874_110243_000044_000000, Very stealthily we heard it pass along until it died away in the distance.,"very stealthily we heard it pass along until it died away in the distance.
"
7825_258978_000006_000004," Here for the first time were inventions in such numbers of such a nature, and under such conditions, that they were rapidly and widely applied, affecting the lives of a great number of workers.","here for the first time were inventions in such numbers, of such a nature, and under such conditions, that they were rapidly and widely applied, affecting the lives of a great number of workers.
"
5588_68188_000050_000002," This poor man here of Embella, amused himself with this bulb.","this poor mynheer van baerle amused himself with this bulb.
"
666_11243_000078_000000," Well, she laughed. What will you give?","'well,' she laughed, 'what will you give?'
"
2299_6524_000057_000000, On the arrival at the hut to Mysha Grinn we found it filled with snow.,"on the arrival at the hut to my chagrin we found it filled with snow.
"
3368_170950_000034_000003," No tools will make a man a skilled workman, or master of defense. Nor be of any use to him who has not learned how to handle them, and has never bestowed any attention upon them.","no tools will make a man a skilled workman, or master of defence, nor be of any use to him who has not learned how to handle them, and has never bestowed any attention upon them.
"
4110_11528_000048_000000," Nevertheless, with the swift move it slapped a tentacle squarely down over the hose nozzle.","nevertheless with a swift move it slapped a tentacle squarely down over the hose nozzle.
"
3368_170952_000051_000000," O heavens, with my eyes verily I behold a dear friend of mine chased round and round the city, and my heart is sorrowful.","'o heavens! with my eyes verily i behold a dear friend of mine chased round and round the city, and my heart is sorrowful.'
"
114_129324_000020_000002," Grimwig, will you leave us for a few minutes?","grimwig, will you leave us for a few minutes?'
"
4152_12926_000012_000000, It was eight o'clock.,"it was eight o'clock.
"
1460_138289_000080_000002," Four had died, three recovered without an operation.","four had died; three recovered without an operation.
"
5007_31609_000011_000001, A number of other buildings in the outer quadrangle and some of the small workshops were seriously damaged.,"a number of other buildings in the outer quadrangle and some of the small workshops were seriously damaged.
"
54_121080_000031_000000," No, and yet they refused to buy it.","""no; and yet they refused to buy it.""
"
1018_133447_000053_000000," Ransford's face flushed, and he turned deliberately to the window, and for a moment stood staring out on his garden and the glimpses of the cathedral.","ransford's face flushed and he turned deliberately to the window, and for a moment stood staring out on his garden and the glimpses of the cathedral.
"
5985_63885_000049_000000," Possibly, Kope said, turning his back on the keyboard.","""possibly,"" cope said, turning his back on the keyboard.
"
7437_96157_000013_000001," What then, my God, shall I do?","what then, my god, shall i do?
"
497_125118_000043_000001, Think over.,"think it over.
"
5012_80192_000017_000000," One night, as I sat half-stoopified in a den of more than infamy, my attention was suddenly drawn to some black object, reposing upon the head of one of the immense hogs-heads of gin or of rum, which constituted the chief furniture of the apartment.","one night, as i sat half stupefied in a den of more than infamy, my attention was suddenly drawn to some black object, reposing upon the head of one of the immense hogsheads of gin or of rum, which constituted the chief furniture of the apartment.
"
5319_64075_000020_000000," As soon as M was gone, I began to look about where the fox had been caught and search for his trail. And soon Pont began to wag his tail. I merely worked Pont's way and said, has he gone that way? Pont gave me to understand that the fox had gone that way, and that he knew what was wanted.","as soon as am was gone i began to look about where the fox had been caught and search for his trail, and soon pont began to wag his tail. i merely worked pont's way and said, ""has he gone that way?"" pont gave me to understand that the fox had gone that way and that he knew what was wanted.
"
2512_157242_000005_000000," He was glad that mother was coming home. Quite glad, very glad. But at the same time that gladness was rudely contradicted by a quite strong feeling of sorrow, because now they could not go out all day in the carpet.","he was glad that mother was coming home-quite glad, very glad; but at the same time that gladness was rudely contradicted by a quite strong feeling of sorrow, because now they could not go out all day on the carpet.
"
8506_287660_000007_000000," John was only twenty, a sprightly active young man of a brown color.","john grinage was only twenty, a sprightly, active young man, of a brown color.
"
207_131203_000030_000000, Diamond lifted his cap and answered politely.,"diamond lifted his cap, and answered politely.
"
318_124224_000021_000008, Buck along.,"buck along.'
"
1779_142733_000011_000000," Before beginning our critical statement, let us recall some of the results of our previous analyses which here intrude themselves to use the ambitious language of Kant as the prologomena to every future solution which claims the title of science.","before beginning our critical statement, let us recall some of the results of our previous analyses which here intrude themselves, to use the ambitious language of kant, as the prolegomena to every future solution which claims the title of science.
"
7120_118112_000000_000000," Professors H&T offer their services. Captains B also are enlisted. Slave trader grasping tightly his prey, but she is rescued. Long conflict, but great triumph. Arrival lawn Thanksgiving Day, November twenty-fifth, eighteen fifty-five.","professors h and t offer their services-captains b also are enlisted-slave trader grasping tightly his prey, but she is rescued-long conflict, but great triumph-arrival on thanksgiving day, november twenty fifth eighteen fifty five.
"
2401_144485_000085_000001, I congratulated Mrs. McCauber on the approaching change.,"i congratulated mrs micawber on the approaching change.
"
5802_76044_000008_000003, What you get is a quite open and recognized discord of two sets of motives.,"what you get is a quite open and recognized discord of two sets of motives.""
"
6575_67584_000009_000000," You haven't changed a bit, he said.","""you haven't changed a bit,"" he said.
"
3989_182402_000022_000004, He had nothing to worry about on that score.,"he had nothing to worry about on that score.
"
4116_13265_000017_000000," Felicia colored slightly, but would not answer.","felicia colored slightly, but would not answer.
"
9022_282383_000022_000004," Great seems of coal, too, were seen projecting from the banks of the Saskatchewan.","great seams of coal, too, were seen projecting from the banks of the saskatchewan.
"
6538_81858_000014_000007, Look out!,"look out!
"
7828_105179_000022_000002," toward this, they directed their steps, and when finally they reached their goal, they found a space about two feet wide and ten feet long between the rock and the cliff.","toward this they directed their steps and when finally they reached their goal they found a space about two feet wide and ten feet long between the rock and the cliff.
"
6544_231862_000038_000002," Here's the door open, in with you, Mrs. Denzel.","here's the door open-in with you, mr denzil!""
"
1313_135022_000007_000002, once Betsy's heels flew up and struck a similar substance overhead.,"once betsy's heels flew up and struck a similar substance overhead.
"
4278_187018_000004_000003," The work was not yet finished, but most of the crew were sleeping during the hot hours, while a handful had volunteered to complete the job.","the work was not yet finished, but most of the crew were sleeping during the hot hours, while a handful had volunteered to complete the job.
"
4733_6398_000020_000004," When her feet touched the ground again, the bell was still ringing in the valley. She put her hands up to her hair, breathing quickly, and glanced up and down the stony lane.","when her feet touched the ground again, the bell was still ringing in the valley; she put her hands up to her hair, breathing quickly, and glanced up and down the stony lane.
"
1472_142848_000016_000002," The greatest care should be taken that it has not been exposed to the air, which destroys its flavor.","the greatest care should be taken that it has not been exposed to the air, which destroys its flavour.
"
7939_120325_000015_000000," You corrupted the City Council, Shrilled Samuel.","""you corrupted the city council!"" shrilled samuel.
"
7994_258960_000001_000000, Chapter VIII,"chapter eight
"
7881_105574_000003_000001," They were not opponents from different far-off sections fighting, but near neighbors. And nothing seemed too awful or too cruel for them to do.","they were not opponents from different far off sections fighting, but near neighbors, and nothing seemed too awful or too cruel for them to do.
"
1769_143483_000019_000001," All that I shall repeat after her must be true without any intermixed verfowlshood, but where I may happen without intending it to introduce my own conceit.","all that i shall repeat after her, must be true, without any intermixture of falsehood, but where i may happen, without intending it, to introduce my own conceits.
"
8474_281187_000042_000000," Well,"" said the captain, one of you, the boldest and most skillful among you, must go into the town disguised as a traveler and a stranger, to try if he can hear any talk of the man whom we have killed, and endeavor to find out who he was, and where he lived.","""well,"" said the captain, ""one of you, the boldest and most skilful among you, must go into the town, disguised as a traveller and a stranger, to try if he can hear any talk of the man whom we have killed, and endeavor to find out who he was, and where he lived.
"
7240_92200_000003_000005, Then it was not so nice.,"then it was not so nice!
"
2618_138042_000045_000002," Rise, Sanko, my friend. I will repay your courtesy by taking care that my Lord the Duke makes good to you the promised gift of the government as soon as possible.","rise, sancho, my friend; i will repay your courtesy by taking care that my lord the duke makes good to you the promised gift of the government as soon as possible.""
"
968_122545_000053_000000," The bee fought the window angrily, up and down, up and down for several minutes. Then found the open glass and whirled out into the sunshine, joyfully.","the bee fought the window angrily, up and down, up and down, for several minutes; then found the open glass and whirled out into the sunshine, joyfully.
"
207_143321_000046_000003," The blood-sucking bats were comparatively few, and the migratory sort fewer still.","the blood sucking bats were comparatively few, and the migratory sort fewer still.
"
512_124520_000044_000003, I'm a lazy thing.,"i'm a lazy thing.
"
637_127579_000016_000001," Having obtained a quantity sufficient for his purpose, he places it in a bag, made of the net-like fibrous substance attached to all coconut trees, and compressing it over the breadfruit, which being now sufficiently pounded is put into a wooden bowl. Extracts a thick, creamy milk.","having obtained a quantity sufficient for his purpose, he places it in a bag made of the net like fibrous substance attached to all cocoanut trees, and compressing it over the bread fruit, which being now sufficiently pounded, is put into a wooden bowl-extracts a thick creamy milk.
"
1958_144503_000061_000002," One I paid for your articles trot, my dear, and the other two I have by me. When I lost the rest I thought it wise to say nothing about that sum. But to keep it secretly for a rainy day.","one, i paid for your articles, trot, my dear; and the other two i have by me. when i lost the rest, i thought it wise to say nothing about that sum, but to keep it secretly for a rainy day.
"
6339_65554_000034_000001, Go to your room girl and take off that rig.,"""go to your room, girl, and take off that rig.
"
3482_170452_000069_000000, The Wounded Stag,"the wounded stag.
"
5914_52088_000021_000000," Division of Game. Some rules are necessary in these matters to avoid disputes, especially between whites and natives, and therefore the custom of the country must be attended to.","division of game.--some rules are necessary in these matters, to avoid disputes, especially between whites and natives; and therefore the custom of the country must be attended to.
"
6701_71401_000032_000000," I trust not, my dear Adams.","""i trust not, my dear adams.
"
3448_5416_000044_000001, Captain Ratlin turned from that brief interview with a feeling he had never before experienced.,"captain ratlin turned from that brief interview with a feeling he had never before experienced.
"
217_122443_000018_000000, Trade of being heard.,"""afraid of being heard?
"
3118_5911_000011_000004," for if truth be at all within the reach of human capacity, it is certain it must lie very deep and abstruse, and to hope we shall arrive at it without pains, while the greatest geniuses have failed with the utmost pains, must certainly be esteemed sufficiently vain and pronounceuous.","for if truth be at all within the reach of human capacity, it is certain it must lie very deep and abstruse: and to hope we shall arrive at it without pains, while the greatest geniuses have failed with the utmost pains, must certainly be esteemed sufficiently vain and presumptuous.
"
7995_280250_000033_000008, Are you satisfied?,"are you satisfied?""
"
2194_141248_000051_000000," Exactly so, Professor Kraft said.","""exactly so,"" professor krafft said.
"
3003_14274_000050_000002, We immediately fell back a short distance and waited for the wagons. And when they came up there was great activity I assure you.,"we immediately fell back a short distance and waited for the wagons, and when they came up there was great activity, i assure you.
"
2481_163597_000022_000001," Each of them turned her palace into an egg, for they were all f***ing. And they taught him how to turn the eggs into palaces and back again, and they handed over the eggs to him.","each of them turned her palace into an egg-for they were all enchantresses-and they taught him how to turn the eggs into palaces, and back again, and they handed over the eggs to him.
"
7188_107627_000010_000001, There remained nothing for him to do save to push on. Which he did stubbornly.,"there remained nothing for him to do save to push on, which he did stubbornly.
"
8776_270778_000022_000000, but do not approach the dream itself for this evil content.,"but do not reproach the dream itself for this evil content.
"
3825_134148_000008_000000," The forth arrived and punctual Paul came with his legal friend at noon. I thought at best said he, to call, one cannot settle things too soon. Poor Peter shuttered in despair, his flowing loxie wildly tore, and very soon his yellow hair was lying all about the four.","the fourth arrived, and punctual paul came, with his legal friend, at noon. 'i thought it best,' said he, 'to call: one cannot settle things too soon.' poor peter shuddered in despair: his flowing locks he wildly tore: and very soon his yellow hair was lying all about the floor.
"
7933_113272_000030_000003, She went to the old man's room and wakened him.,"she went to the old man's room and wakened him.
"
7594_101832_000014_000001, Didn't you see him when I threw him down?,"didn't you see him when i threw him down?""
"
882_123267_000021_000008," Does it follow that because the monster has slept since twelve twenty-nine, he must therefore never wake again?","does it follow that because the monster has slept since twelve twenty nine he must therefore never awake again?
"
7297_92812_000003_000002," We had no credit. We went in, called for food, and ate it.","we had no credit; we went in, called for food and ate it.
"
2531_156718_000010_000006, and when he closed his eyes he seemed to hear a voice which whispered. Come along then and climb.,"and when he closed his eyes, he seemed to hear a voice which whispered, ""come along, then, and climb.""
"
7095_88484_000007_000001," We, therefore, pronounce false, every assertion which is contrary to the enlightened truth of faith.","we, therefore, pronounce false every assertion which is contrary to the enlightened truth of faith....
"
3851_9210_000025_000002, Everyone had a version.,"everyone had a version.
"
5290_39475_000033_000001, He only called to her softly.,"he only called to her softly:
"
7481_101276_000012_000001, Let me look at those herbs.,"let me look at those herbs.
"
439_122809_000020_000000," and all good children to whom he related this story took great heed of this naughty cupid. But he made fools of them still, for he is astonishingly cunning.","and all good children to whom he related this story, took great heed of this naughty cupid; but he made fools of them still, for he is astonishingly cunning.
"
718_129597_000007_000000," Are you the one who met on the beach?"" I asked.","""are you the one i met on the beach?"" i asked.
"
5489_10988_000067_000000, Yes!,"""yes.
"
4967_3586_000032_000000," Is it, as percy, looking with more respect at the piece of cloth Polly was waving alluringly before him?","""is it?"" asked percy, looking with more respect at the piece of cloth polly was waving alluringly before him.
"
5717_94876_000024_000004," You see, it was magic that did it every time, sir, the first, and we can't put a sick loan to happen along and take us to the Emerald City now.","you see it was magic that did it every time 'cept the first, and we can't 'spect a cyclone to happen along and take us to the emerald city now.""
"
6727_10344_000011_000000, whether the word light is used in its proper sense in speaking of spiritual things.,"whether the word ""light"" is used in its proper sense in speaking of spiritual things?
"
7959_109185_000013_000000, A rovers blood flowed in its veins.,"a rover's blood flowed in its veins.
"
3274_167022_000017_000000," You sure this spy wasn't just romancing, Harrington asked.","""you sure this spy wasn't just romancing?"" harrington asked.
"
6550_53343_000015_000003," The lad that was receiving his instructions, I learnt, was the son and heir apparent of a fat old widow who kept the village in, and of course a youth of some expectation, and much courted by the idle gentleman-like personages of the place.","the lad that was receiving his instructions, i learnt, was the son and heir apparent of a fat old widow who kept the village inn, and of course a youth of some expectation, and much courted by the idle gentleman like personages of the place.
"
922_132300_000031_000001, Come off at Chris.,"""come off it, chris!""
"
7460_92002_000028_000011," It was with difficulty that she had brought herself to do that, telling herself, however, that as the linen was there, it must be hemmed. When there had come a question of marking the sheets she had evaded the task, not without raising suspicion, in the bosom of Madame Vos.","it was with difficulty that she had brought herself to do that,--telling herself, however, that as the linen was there, it must be hemmed; when there had come a question of marking the sheets, she had evaded the task,--not without raising suspicion in the bosom of madame voss.
"
3228_4691_000014_000009, and then Sir Lancelot promised him he knowled by the faith of his body.,"and then sir launcelot promised him he nold, by the faith of his body.
"
6937_262269_000027_000002, Lady Augusta is looking out for a daily governess.,"lady augusta is looking out for a daily governess.""
"
4133_6541_000050_000005, It is surprising to find such a big disturbance from what appears to be a simple cause.,"it is surprising to find such a big disturbance from what appears to be a simple cause.
"
4719_25765_000046_000002," But as I failed to get him, I believe you would make a splendid substitute.","but as i failed to get him, i believe you would make a splendid substitute.
"
1472_285314_000019_000000, Wes thought it over.,"west thought it over.
"
8404_282926_000067_000004, Guadalupe country is burning up about that old Dutchman I plugged down there.,"the guadalupe country is burning up about that old dutchman i plugged down there.""
"
2388_153728_000003_000008," and the same star figures having the same significance were familiar to the Peruvians, as shown by the temples at Cusco.","and the same star figures, having the same significance, were familiar to the peruvians, as shown by the temples at cuzco.
"
4800_73729_000013_000000," He loves you Henrietta, said her father.","'he loves you, henrietta,' said her father.
"
7318_96151_000039_000000, What on earth is the matter? He said to me.,"'what on earth is the matter?' he said to me.
"
5876_8675_000053_000001," He had enjoyed himself by the way, and taken his own time, until he actually reached the little brook in the valley which had had cost him some trouble to find.","he had enjoyed himself by the way, and taken his own time, until he actually reached the little brook in the valley which it had cost him some trouble to find.
"
3922_715_000101_000000," I'm weak,"" she said in an exhausted voice.","""i'm weak...."" she said in an exhausted voice.
"
6544_67863_000029_000001, I could be black.,"i could be black.
"
6497_234100_000020_000007, like a bolt from the blue.,"like a bolt from the blue.
"
5304_55856_000013_000000," And what more could you have said, agreed Smith approvingly?","""and what more could you have said?"" agreed smith approvingly.
"
3294_167609_000032_000000," The Smolensk Mother of God, another corrected him.","""the smolensk mother of god,"" another corrected him.
"
1265_135635_000011_000001, the house with the red door.,"'the house with the red door, cabmin.
"
119_129514_000006_000001," His chair, supported by a carved gun carriage, was modeled upon the ponderous proportion of a thirty-two inch mortar.","his chair, supported by a carved gun carriage, was modeled upon the ponderous proportions of a thirty two-inch mortar.
"
3717_21493_000018_000001," Next she thought, I will not stir from here till I see him come out, and discover who he is. Accordingly she waited, and at dawn the next morning the rock moved to one side, and a lion came out.","next she thought, 'i will not stir from here till i see him come out, and discover who he is.' accordingly she waited, and at dawn the next morning the rock moved to one side and a lion came out.
"
3105_166683_000024_000001, Sir Charles Bl,"sir charles blagden went into a room where the heat was one degree or two degrees above two hundred sixty degrees, and remained eight minutes in this situation, frequently walking about to all the different parts of the room, but standing still most of the time in the coolest spot, where the heat was above two hundred forty degrees.
"
1649_68762_000036_000001," However, it was not his desire to stifle this newborn enthusiasm of Kenneth's, even though he believed it misdirected.","however, it was not his desire to stifle this new born enthusiasm of kenneth's, even though he believed it misdirected.
"
6497_234100_000006_000006, Such had been his theory. He must now make his theory and practice coincide.,"such had been his theory; he must now make his theory and practice coincide.
"
6395_87997_000019_000000," yesterday about four o'clock, afternoon, Mr. Hume expired. The near approach of his death became evident in the night between Thursday and Friday, when his disease became excessive, and soon weakened him so much that he could no longer rise out of his bed. He continued to the last perfectly sensible, and free from much pain or feelings of distress.","""yesterday, about four o'clock, afternoon, mr hume expired. the near approach of his death became evident in the night between thursday and friday, when his disease became excessive, and soon weakened him so much, that he could no longer rise out of his bed he continued to the last perfectly sensible, and free from much pain or feelings of distress.
"
7484_39971_000011_000003, The deliberate cultivation of this phase of thought constitutes thinking as a distinctive experience.,"the deliberate cultivation of this phase of thought constitutes thinking as a distinctive experience.
"
1336_138115_000026_000000," Exactly, he said.","""exactly,"" he said.
"
1195_130164_000033_000000," If Mag had wanted a reward for hours of patient labor, she received it in the hearty pressure of her father's hand and the approving smile he gave her.","if meg had wanted a reward for hours of patient labor, she received it in the hearty pressure of her father's hand and the approving smile he gave her.
"
3994_11512_000013_000002," This, for many reasons, was a most amazing piece of news to myself and to anyone who knew Benda.","this, for many reasons, was a most amazing piece of news to myself and to anyone who knew benda.
"
5570_73848_000014_000001," His small eyes wandered, and instantaneously met and rested on those of Mrs. Lofford.","his small eyes wandered, and instantaneously met and rested on those of mrs lawford.
"
6458_61323_000012_000004," The burning of straw figures representing gods of fertility on May Day bonfires may have been a fertility rite, and perhaps explains the use of straw-birth girdles.","the burning of straw figures, representing gods of fertility, on may day bonfires may have been a fertility rite, and perhaps explains the use of straw birth girdles.
"
7520_258986_000014_000010," Moreover, there has been a large increase in the number of things made in factories, which were formerly made in the homes, and which then did not appear at all, in the census of manufacturers.","moreover, there has been a large increase in the number of things made in factories which were formerly made in the homes, and which then did not appear at all in the census of manufactures.
"
2397_162238_000007_000001, See?,"see!
"
2787_157400_000072_000001, I trust that someday you will let me tell you who that English woman is.,"""i trust that some day you will let me tell you who that englishwoman is.""
"
3185_163507_000052_000000," Of course you can't wear you stand,"" said the man, but just come and lie down here, and stare straight up, and mind you don't take your eyes off the sky, and then you shall see what you shall see.","'of course you can't where you stand', said the man; 'but just come and lie down here, and stare straight up, and mind you don't take your eyes off the sky; and then you shall see what you shall see.'
"
7881_109662_000018_000001, You look unhappy as if you yourself had been married. Instead of having acted merely as an accomplice.,"you look unhappy as if you yourself had been married instead of having acted merely as an accomplice.
"
5618_48831_000114_000000, Scuffle.,"""huffle scuffle!
"
288_131218_000031_000006, There.,"there!
"
398_123602_000021_000000," You must have left to see a good many years ago, then, Captain Little Page. I said...","""you must have left the sea a good many years ago, then, captain littlepage?"" i said.
"
7825_258978_000004_000004, In many cases there is a clearly marked distinction between tool and machine.,"in many cases there is a clearly marked distinction between tool and machine.
"
56_1733_000020_000000," She had called him a f***ing. And he glanced at her with gratitude and moved to take her hand, but she drew back from him with a version.","she had called him ""stiva,"" and he glanced at her with gratitude, and moved to take her hand, but she drew back from him with aversion.
"
5968_55202_000041_000001, Bertram and Cyril laughed shame-facedly and sat down.,"bertram and cyril laughed shamefacedly and sat down.
"
1382_130492_000071_000000, sickening contrasts and diabolic ironies of life.,"sickening contrasts and diabolic ironies of life
"
7188_104637_000018_000000," Tad searched his clothes for matches, finally finding his match safe.","tad searched his clothes for matches, finally finding his match safe.
"
5876_8675_000029_000000, Do not be a noide dear wife.,"'do not be annoyed, dear wife.
"
204_287139_000035_000007," And that, said he, is just about as good as nothing.","""and that,"" said he, ""is just about as good as nothing.
"
274_121382_000030_000002," Therefore, when, at dessert upon a sign from Dertanian, Portus had sent away his servants, and the two friends were alone.","therefore, when, at dessert, upon a sign from d'artagnan, porthos had sent away his servants and the two friends were alone:
"
7995_280250_000039_000005," And remember, we are to be here together once more.","and remember we are to be here together once more!""
"
6981_70843_000052_000004," Everybody must cooperate with the military Revolutionary Committee, report where there are stores of barbed wire, benzene, guns.","everybody must cooperate with the military revolutionary committee, report where there are stores of barbed wire, benzine, guns....
"
7258_91905_000006_000001," He is the good Pan, the great shepherd, at whose death were monings, size, trepidation, and lamentations, in all the machine of the universe, Heavens, Earth, Sea, Hells.","he is the good pan, the great shepherd.... at whose death were moanings, sighs, trepidations and lamentations in all the machine of the universe, heavens, earth, sea, hells.
"
8410_278217_000052_000000, Most certainly.,"""most certainly.""
"
5126_27504_000017_000001," Besides that, we felt savage about his trying to run us in.","besides that, we felt savage about his trying to run us in.
"
7229_80665_000011_000002," If there was a fire, this rain would smurf it.","if there was a fire, this rain would smother it.
"
3551_7887_000045_000004, No figure wrapped in a mantle will from this day forth Leave Paris unchallenged.,"no figure wrapped in a mantle will from this day forth leave paris unchallenged.""
"
4425_14497_000004_000001," porpoise away. Bessie hates me, I can't get at the notion of the Melancholia. Masey's letters are scrappy. And I believe I have indigestion.","'torp's away; bessie hates me; i can't get at the notion of the melancolia; maisie's letters are scrappy; and i believe i have indigestion.
"
